ID_Season,Player,ID,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season
mitchdo01_2019,Donovan Mitchell,mitchdo01,77.0,2598.0,17.2,0.537,0.33899999999999997,0.259,2.5,10.5,6.6,21.2,2.0,0.9,11.3,31.6,1.3,3.7,5.0,0.092,1.2,0.1,1.3,2.2,2019
mitrona01_2019,Naz Mitrou-Long,mitrona01,14.0,84.0,2.2,0.38299999999999995,0.55,0.1,1.3,6.3,3.9,23.3,0.6,0.9,27.7,14.7,-0.2,0.1,-0.1,-0.046,-7.1,-1.6,-8.7,-0.1,2019
monkma01_2019,Malik Monk,monkma01,73.0,1258.0,11.8,0.518,0.563,0.174,1.3,10.6,5.9,14.3,1.4,1.3,12.0,24.6,-0.4,0.7,0.3,0.012,-1.3,-1.7,-3.0,-0.3,2019
monrogr01_2019,Greg Monroe,monrogr01,43.0,480.0,16.0,0.521,0.026000000000000002,0.381,15.4,22.9,19.3,8.1,1.4,1.4,12.7,22.6,0.4,0.7,1.1,0.10800000000000001,-2.0,-1.3,-3.2,-0.1,2019
mooreet01_2019,E'Twaun Moore,mooreet01,53.0,1463.0,11.5,0.5670000000000001,0.331,0.111,2.5,6.4,4.5,9.5,1.3,0.4,9.6,17.3,1.2,0.5,1.7,0.055,-1.2,-1.1,-2.3,-0.1,2019
moreler01_2019,Eric Moreland,moreler01,5.0,43.0,6.7,0.5,0.14300000000000002,0.0,10.3,39.6,25.2,11.8,1.1,1.9,41.7,12.0,-0.1,0.1,0.0,0.032,-6.7,2.0,-4.7,0.0,2019
morrija01_2019,Jaylen Morris,morrija01,4.0,29.0,12.2,0.46,0.3,0.2,0.0,16.5,8.8,18.1,3.2,0.0,8.4,17.2,0.0,0.1,0.1,0.084,-3.7,3.3,-0.4,0.0,2019
morrima02_2019,Markieff Morris,morrima02,58.0,1270.0,11.7,0.521,0.419,0.19,5.0,17.5,11.1,8.8,1.3,1.5,9.3,19.1,0.6,1.1,1.6,0.061,-2.1,-0.6,-2.7,-0.2,2019
morrima03_2019,Marcus Morris,morrima03,75.0,2091.0,14.2,0.568,0.461,0.205,3.9,19.5,11.7,7.5,1.0,1.1,9.1,20.9,2.1,2.5,4.5,0.10400000000000001,-0.2,-0.7,-0.9,0.6,2019
morrimo01_2019,Monte Morris,morrimo01,82.0,1970.0,16.2,0.5770000000000001,0.32299999999999995,0.115,1.9,8.8,5.3,21.7,1.8,0.2,6.6,17.1,4.4,1.8,6.2,0.151,1.1,0.3,1.5,1.7,2019
motiedo01_2019,Donatas Motiejūnas,motiedo01,3.0,13.0,-0.5,0.436,0.0,0.33299999999999996,16.9,8.3,12.6,11.9,0.0,6.5,30.4,33.5,-0.1,0.0,-0.1,-0.24600000000000002,-19.4,-2.3,-21.7,-0.1,2019
motlejo01_2019,Johnathan Motley,motlejo01,22.0,156.0,18.9,0.563,0.040999999999999995,0.5479999999999999,12.6,21.7,17.3,11.7,1.5,1.5,15.0,28.8,0.1,0.2,0.3,0.092,-1.2,-0.7,-1.9,0.0,2019
mudiaem01_2019,Emmanuel Mudiay,mudiaem01,59.0,1607.0,14.6,0.531,0.284,0.251,2.1,10.9,6.4,24.2,1.3,1.0,14.6,25.6,0.1,0.7,0.8,0.023,-0.2,-1.8,-2.0,0.0,2019
murraja01_2019,Jamal Murray,murraja01,75.0,2447.0,16.0,0.5379999999999999,0.353,0.19,2.9,11.2,7.0,22.4,1.3,1.0,11.1,24.9,2.8,2.3,5.1,0.1,1.4,-0.8,0.6,1.6,2019
musadz01_2019,Džanan Musa,musadz01,9.0,39.0,5.8,0.415,0.455,0.091,2.7,10.7,6.7,8.6,2.4,0.0,14.9,29.0,-0.2,0.0,-0.1,-0.152,-6.3,-0.9,-7.2,-0.1,2019
muscami01_2019,Mike Muscala,muscami01,64.0,1306.0,10.8,0.564,0.7090000000000001,0.235,4.7,14.7,9.8,7.7,0.8,2.3,10.8,14.3,1.2,1.2,2.5,0.091,-0.8,-0.3,-1.1,0.3,2019
mykhasv01_2019,Sviatoslav Mykhailiuk,mykhasv01,42.0,440.0,6.0,0.447,0.636,0.14300000000000002,2.2,6.2,4.2,10.9,1.5,0.2,12.4,16.0,-0.4,0.3,-0.1,-0.012,-3.9,-1.1,-5.0,-0.3,2019
naderab01_2019,Abdel Nader,naderab01,61.0,694.0,8.8,0.522,0.465,0.16699999999999998,2.0,15.7,8.6,3.8,1.3,1.5,10.1,15.1,0.0,0.9,0.9,0.062,-3.6,0.3,-3.2,-0.2,2019
nancela02_2019,Larry Nance Jr.,nancela02,67.0,1795.0,18.6,0.583,0.205,0.28,10.0,24.9,17.1,17.8,2.8,1.9,15.3,15.5,3.3,1.6,4.9,0.131,1.0,1.4,2.4,2.0,2019
napiesh01_2019,Shabazz Napier,napiesh01,56.0,983.0,15.3,0.534,0.524,0.317,1.9,8.7,5.3,22.2,2.0,1.3,11.7,24.0,1.0,1.0,2.0,0.098,0.9,0.6,1.5,0.9,2019
netora01_2019,Raul Neto,netora01,37.0,474.0,13.5,0.5579999999999999,0.373,0.205,1.4,12.6,7.1,28.7,1.4,0.7,16.6,19.0,0.5,0.6,1.1,0.11599999999999999,-1.1,0.8,-0.3,0.2,2019
niangge01_2019,Georges Niang,niangge01,59.0,516.0,13.0,0.613,0.58,0.133,2.4,15.7,9.1,10.1,0.9,0.9,10.7,17.8,0.7,0.7,1.3,0.12300000000000001,-0.2,0.2,0.0,0.3,2019
noahjo01_2019,Joakim Noah,noahjo01,42.0,693.0,18.6,0.5710000000000001,0.005,0.512,9.2,29.6,19.3,20.6,1.4,4.2,16.1,20.0,1.0,1.2,2.2,0.15,-0.3,2.4,2.1,0.7,2019
noelne01_2019,Nerlens Noel,noelne01,77.0,1055.0,19.3,0.608,0.0,0.28600000000000003,12.1,20.0,15.9,5.9,2.9,7.7,13.4,13.8,1.9,2.5,4.3,0.198,-1.2,3.3,2.1,1.1,2019
nowitdi01_2019,Dirk Nowitzki,nowitdi01,51.0,795.0,9.6,0.469,0.545,0.133,0.7,20.5,10.6,6.9,0.5,1.9,4.3,22.5,-0.5,0.8,0.3,0.016,-2.7,-1.2,-3.9,-0.4,2019
ntilila01_2019,Frank Ntilikina,ntilila01,43.0,904.0,6.0,0.41700000000000004,0.408,0.106,1.4,8.9,5.0,19.5,1.6,1.3,15.9,16.6,-1.3,0.4,-0.8,-0.045,-5.2,-0.8,-6.0,-0.9,2019
